YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,847,81,0,132,48,47,67,55,94,64,93,65,100,77,126,75,113,68,160,81,46,33,847,81,57,52,23,33,0,132,10,17,0,132,24,36,0,132,106,57,12,21,14,23,0,132,0,132,67,51,13,21,524,92,80,63,60,50,83,62,52,44,238,80,11,17,160,70,0,132,20,22,0,132,48,51,70,48,22,27,58.91,42.11,63.21,55.34,73.75,18.89
2010,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,728,65,21,23,38,33,45,44,61,43,139,63,46,46,58,47,89,60,221,64,10,15,728,65,8,13,0,132,0,132,0,132,0,132,8,13,0,132,98,66,0,132,19,29,25,39,19,30,35,42,0,132,504,87,83,52,11,17,97,62,27,34,276,75,10,15,118,48,21,23,31,28,17,20,0,132,49,38,0,132,56.87,100.0,55.1,60.12,41.53,30.36
2010,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,453,85,10,16,61,41,52,37,61,41,42,35,79,55,36,34,18,20,94,57,0,132,453,85,24,21,17,18,0,132,7,12,0,132,0,132,0,132,144,49,38,33,9,13,19,21,17,27,61,43,0,132,247,89,68,43,52,39,16,26,62,48,49,44,0,132,38,29,0,132,0,132,0,132,0,132,38,29,0,132,50.11,0.0,54.17,44.94,100.0,20.75
2010,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,473,88,3,8,67,70,56,60,3,7,93,49,52,49,26,33,40,39,127,83,6,11,473,88,57,62,35,51,0,132,22,32,0,132,0,132,0,132,144,87,25,38,0,132,9,14,35,48,75,69,0,132,180,87,63,56,0,132,18,23,11,16,82,59,6,11,92,43,3,8,3,7,44,31,6,10,36,27,0,132,51.8,0.0,76.39,51.67,45.65,26.85
2010,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,33,21,0,132,9,8,0,132,2,3,10,13,0,132,5,7,0,132,7,6,0,132,33,21,0,132,0,132,0,132,0,132,0,132,0,132,0,132,10,11,5,7,0,132,0,132,0,132,5,7,0,132,19,18,2,3,0,132,10,13,0,132,7,8,0,132,4,3,2,3,2,3,0,132,0,132,0,132,0,132,36.36,,50.0,36.84,0.0,21.21
2010,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,709,124,9,14,41,44,99,58,114,79,75,65,92,61,65,49,73,47,121,65,20,22,709,124,67,56,0,132,17,25,0,132,0,132,50,43,0,132,180,82,42,38,49,51,18,30,9,15,62,46,0,132,418,132,107,70,48,46,37,51,83,58,133,79,10,15,44,40,0,132,0,132,20,31,0,132,14,18,10,16,49.51,74.63,39.44,51.67,31.82,17.07
2010,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,695,115,25,38,126,88,86,65,54,49,69,49,52,51,89,67,25,29,169,98,0,132,695,115,0,132,0,132,0,132,0,132,0,132,0,132,0,132,328,117,106,88,14,24,40,35,24,37,144,88,0,132,296,103,118,76,21,33,29,37,9,16,119,88,0,132,71,61,13,24,19,30,0,132,19,30,20,26,0,132,48.2,,51.22,43.24,54.93,24.32
2011,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,833,75,0,95,57,48,60,55,114,67,106,71,55,44,95,61,125,75,172,77,49,42,833,75,54,46,21,32,12,19,0,95,0,95,8,12,13,22,116,63,12,21,14,24,0,95,0,95,77,53,13,21,515,118,84,60,68,52,84,66,52,41,217,94,10,16,148,70,0,95,20,22,22,27,3,5,90,63,13,20,53.66,14.81,66.38,52.23,62.84,20.65
2011,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,688,66,21,23,42,38,44,46,66,54,137,66,71,52,50,48,67,54,181,66,9,13,688,66,0,95,0,95,0,95,0,95,0,95,0,95,0,95,76,61,0,95,0,95,25,38,19,31,32,38,0,95,494,81,86,53,37,46,88,55,43,38,231,85,9,13,118,39,21,23,29,28,24,22,9,14,35,24,0,95,53.63,,67.11,55.47,37.29,26.31
2011,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,456,94,0,95,82,49,34,33,32,23,35,32,76,61,66,50,38,30,87,56,6,10,456,94,39,27,32,27,0,95,7,11,0,95,0,95,0,95,134,64,32,34,7,11,28,30,17,27,44,42,6,10,250,82,52,42,25,20,0,95,59,55,114,57,0,95,33,27,0,95,0,95,0,95,0,95,33,27,0,95,58.55,0.0,45.52,69.2,100.0,19.08
2011,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,526,78,8,13,79,61,45,47,39,34,112,53,34,39,26,26,43,28,133,68,7,11,526,78,37,40,21,34,0,95,16,22,0,95,0,95,0,95,119,73,11,18,9,15,10,17,27,39,62,54,0,95,270,84,92,63,23,28,26,25,7,12,115,63,7,11,100,42,8,13,7,12,60,41,0,95,25,24,0,95,44.87,0.0,74.79,45.19,25.0,25.29
2011,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,20,9,3,3,4,4,0,95,2,2,0,95,0,95,4,7,0,95,7,6,0,95,20,9,0,95,0,95,0,95,0,95,0,95,0,95,0,95,5,7,0,95,0,95,0,95,0,95,5,7,0,95,11,8,5,4,0,95,0,95,0,95,6,8,0,95,4,3,2,2,2,2,0,95,0,95,0,95,0,95,55.0,,100.0,54.55,0.0,35.0
2011,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,680,102,10,14,14,17,84,54,112,62,75,66,82,54,30,28,111,54,153,64,9,14,680,102,67,46,0,95,17,27,0,95,0,95,50,37,0,95,161,75,54,44,17,18,19,28,9,15,62,47,0,95,399,100,54,39,74,54,37,51,73,52,152,65,9,14,53,41,0,95,4,7,19,30,0,95,30,25,0,95,55.29,74.63,44.1,56.39,56.6,22.5
2011,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,706,111,16,29,159,86,70,48,12,20,91,50,49,43,46,54,59,61,204,112,0,95,706,111,0,95,0,95,0,95,0,95,0,95,0,95,0,95,272,103,84,71,0,95,35,32,22,34,131,82,0,95,362,108,149,89,0,95,56,44,15,19,142,95,0,95,72,48,12,20,12,20,0,95,12,21,36,35,0,95,50.71,,56.25,43.37,66.67,28.9
2012,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,880,53,14,21,57,42,46,48,145,63,85,57,72,53,110,64,88,54,227,75,36,32,880,53,45,35,0,13,12,16,0,13,0,13,20,23,13,21,143,58,12,18,38,33,0,13,6,10,75,44,12,19,566,79,104,63,82,54,77,54,39,38,253,75,11,16,126,42,1,4,13,19,8,12,27,30,77,38,0,13,56.48,44.44,56.64,51.59,82.54,25.8
2012,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,696,59,20,23,50,28,27,31,113,57,96,52,61,41,39,44,45,32,236,80,9,14,696,59,0,13,0,13,0,13,0,13,0,13,0,13,0,13,70,50,0,13,0,13,26,39,0,13,44,36,0,13,412,74,64,29,53,48,24,25,43,35,219,67,9,14,214,56,33,27,60,38,46,30,18,22,57,30,0,13,54.74,,62.86,63.59,35.05,33.91
2012,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,518,90,0,13,43,31,66,51,69,46,26,23,73,51,80,53,49,32,98,53,14,18,518,90,45,31,40,30,0,13,5,9,0,13,0,13,0,13,157,65,51,43,12,18,14,19,17,26,56,44,7,13,276,84,18,21,57,43,7,11,56,47,138,60,0,13,40,31,0,13,0,13,0,13,0,13,33,29,7,11,57.92,0.0,46.5,70.29,82.5,18.92
2012,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,530,86,7,12,31,29,62,59,42,30,99,56,37,48,33,30,65,49,130,73,24,27,530,86,9,16,0,13,0,13,9,16,0,13,0,13,0,13,97,56,9,15,12,21,12,19,34,44,30,33,0,13,288,86,65,54,23,21,6,9,0,13,170,74,24,27,136,45,26,33,7,11,72,50,3,9,28,28,0,13,50.0,0.0,65.98,59.03,22.79,24.53
2012,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,17,8,3,3,2,3,0,13,2,2,0,13,0,13,4,7,0,13,6,6,0,13,17,8,0,13,0,13,0,13,0,13,0,13,0,13,0,13,4,6,0,13,0,13,0,13,0,13,4,6,0,13,9,8,3,3,0,13,0,13,0,13,6,7,0,13,4,4,2,3,2,2,0,13,0,13,0,13,0,13,58.82,,100.0,66.67,0.0,35.29
2012,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,719,81,13,20,13,18,60,38,158,58,55,58,98,54,40,35,85,49,168,69,29,32,719,81,78,54,0,13,16,25,0,13,0,13,62,48,0,13,166,70,44,31,33,31,21,31,17,21,51,47,0,13,414,89,42,33,95,58,15,24,81,51,152,64,29,32,61,43,0,13,14,16,19,30,0,13,28,25,0,13,54.38,79.49,40.96,56.28,45.9,23.37
2012,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,716,119,0,18,140,91,58,57,9,13,162,71,20,16,43,52,70,60,214,100,0,18,716,119,22,37,0,18,0,18,0,18,0,18,22,37,0,18,235,113,46,55,0,18,56,47,0,18,133,97,0,18,408,124,138,89,0,18,106,71,20,16,144,78,0,18,51,37,14,23,9,13,0,18,0,18,28,29,0,18,48.46,100.0,56.6,40.2,54.9,29.89
2013,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,831,58,19,21,44,34,20,30,133,56,98,55,69,43,137,63,86,52,193,60,32,28,831,58,34,28,0,12,5,8,0,12,0,12,18,20,11,18,103,50,0,12,30,28,0,12,6,9,51,36,16,20,529,83,75,45,77,47,60,47,47,40,265,77,5,8,165,66,8,11,21,24,38,34,16,14,82,48,0,12,58.36,52.94,55.34,58.98,59.39,23.23
2013,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,738,57,16,17,40,33,47,42,104,59,73,44,89,46,21,25,76,54,258,77,14,15,738,57,0,12,0,12,0,12,0,12,0,12,0,12,0,12,92,54,0,12,0,12,0,12,0,12,92,54,0,12,438,62,74,41,45,53,34,43,76,45,200,64,9,13,208,50,29,19,59,29,39,27,13,13,63,35,5,7,60.16,,100.0,63.01,36.54,34.96
2013,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,559,77,0,12,23,27,77,50,68,42,48,34,78,61,67,47,70,52,116,61,12,17,559,77,43,37,39,37,0,12,4,7,0,12,0,12,0,12,157,72,28,31,0,12,23,27,17,26,85,62,4,11,304,83,26,30,68,42,21,25,61,56,128,61,0,12,55,36,7,12,0,12,0,12,0,12,40,33,8,12,59.21,0.0,64.97,62.17,72.73,20.75
2013,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,617,87,11,17,34,28,68,62,83,58,76,39,60,41,51,34,62,49,154,73,18,24,617,87,18,20,0,12,0,12,0,12,0,12,18,20,0,12,75,50,9,14,8,14,11,17,25,37,22,23,0,12,389,99,70,54,75,56,19,21,24,26,183,71,18,24,135,55,34,41,0,12,46,32,11,18,44,34,0,12,53.0,100.0,62.67,53.21,40.74,24.96
2013,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,20,10,4,3,2,2,3,4,0,12,0,12,0,12,4,6,0,12,7,6,0,12,20,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,7,0,12,0,12,0,12,0,12,5,7,0,12,12,8,6,5,0,12,0,12,0,12,6,7,0,12,3,4,3,4,0,12,0,12,0,12,0,12,0,12,55.0,,100.0,50.0,0.0,35.0
2013,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,721,78,0,12,11,13,86,52,127,55,38,36,109,69,60,43,95,54,180,61,15,24,721,78,46,39,0,12,15,23,0,12,0,12,31,32,0,12,209,70,43,36,30,29,23,28,24,28,89,51,0,12,413,86,54,38,64,43,15,24,85,59,180,69,15,24,53,31,0,12,18,22,0,12,0,12,35,28,0,12,61.58,67.39,54.07,64.16,66.04,24.97
2013,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,739,118,0,12,107,85,78,56,79,51,116,66,19,22,0,12,51,53,282,107,7,12,739,118,47,51,0,12,8,13,0,12,0,12,39,53,0,12,197,84,9,14,30,46,42,43,10,15,106,74,0,12,434,131,160,85,37,45,74,52,9,16,147,76,7,12,61,40,16,23,4,10,0,12,0,12,41,38,0,12,47.63,82.98,58.88,35.94,67.21,38.16
2014,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,854,48,24,24,56,45,33,29,137,56,109,56,61,30,114,59,80,46,213,61,27,23,854,48,47,37,0,12,15,20,0,12,0,12,19,22,13,20,117,49,0,12,35,32,12,19,6,9,60,39,4,7,519,83,90,54,76,40,53,42,42,28,255,75,3,6,171,51,23,20,11,18,44,28,13,9,73,44,7,10,54.8,40.43,56.41,57.23,50.29,24.94
2014,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,759,47,23,21,37,28,54,37,99,54,69,43,87,52,47,32,57,50,282,76,4,7,759,47,0,12,0,12,0,12,0,12,0,12,0,12,0,12,98,51,7,10,0,12,0,12,0,12,91,52,0,12,377,65,65,40,35,42,29,31,70,46,178,65,0,12,284,55,42,24,64,34,40,33,17,19,117,39,4,7,62.32,,92.86,65.78,47.18,37.15
2014,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,607,99,23,35,37,34,37,35,84,52,38,26,62,58,93,58,79,49,141,67,13,16,607,99,28,31,28,31,0,12,0,12,0,12,0,12,0,12,135,60,37,40,0,12,14,20,18,29,60,44,6,11,379,114,24,28,78,51,24,23,44,51,209,82,0,12,65,34,8,13,6,9,0,12,0,12,44,30,7,11,61.78,0.0,57.78,66.75,67.69,23.23
2014,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,697,104,13,20,38,32,119,81,65,45,100,53,53,36,51,36,50,34,171,70,37,45,697,104,19,21,0,12,0,12,0,12,0,12,19,21,0,12,87,53,34,41,9,14,13,21,16,26,15,17,0,12,407,104,98,68,56,42,22,24,25,24,180,73,26,41,184,60,38,46,0,12,65,46,12,19,58,38,11,18,46.63,100.0,35.63,50.37,38.04,24.53
2014,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,19,9,4,3,2,3,3,5,2,3,0,12,0,12,5,6,0,12,3,3,0,12,19,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2,3,2,3,0,12,0,12,0,12,0,12,0,12,16,9,6,5,2,3,0,12,0,12,8,6,0,12,1,2,1,2,0,12,0,12,0,12,0,12,0,12,42.11,,0.0,50.0,0.0,15.79
2014,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,796,83,0,12,3,5,105,67,123,55,47,37,139,66,73,50,105,60,185,71,16,25,796,83,46,39,0,12,16,24,0,12,0,12,30,31,0,12,212,75,18,22,33,30,24,27,27,30,110,60,0,12,477,103,90,64,53,43,23,26,112,60,183,74,16,25,61,41,0,12,21,27,0,12,0,12,40,31,0,12,63.07,65.22,64.62,61.84,65.57,23.24
2014,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,775,118,0,12,90,63,43,39,109,73,97,68,36,37,42,43,55,40,268,106,35,36,775,118,50,44,0,12,8,12,0,12,0,12,42,47,0,12,215,84,8,14,22,36,40,39,27,33,97,61,21,32,449,123,118,70,71,61,57,57,9,15,188,89,6,12,61,38,7,11,8,14,0,12,0,12,38,31,8,13,51.74,84.0,57.67,43.88,62.3,34.58
